ARID3A	ADRBK1
ARID3A	MYCN
ARID3A	SOS2
ARID3A	HIST1H2BE
ARID3A	PYURF
ARID3A	IMPACT
ARID3A	SETD3
ARID3A	BHMT2
ARID3A	NKAPL
ARID3A	TIMM22
ARID3A	RPRD1A
ARID3A	SFMBT2
ARID3A	ARF3
ARID3A	FMNL2
ARID3A	RHOBTB3
ARID3A	VGLL4
ARID3A	DCAF6
ARID3A	LACC1
ARID3A	ITIH5
ARID3A	GJA1
ARID3A	SMARCD2
ARID3A	NUDT21
ARID3A	ASTN1
ARID3A	DNAH14
ARID3A	FAM43B
ARID3A	RGS1
ARID3A	C3AR1
ARID3A	MYLIP
ARID3A	FASTKD3
ARID3A	ATOX1
ARID3A	CNIH3
ARID3A	METTL6
ARID3A	MT1H
ARID3A	TUSC3
ARID3A	DGCR8
ARID3A	TOP2A
ARID3A	C15orf61
ARID3A	TUBA1C
ARID3A	CUEDC1
ARID3A	PTPN2
ARID3A	RAD21
ARID3A	PIGG
ARID3A	SUCNR1
ARID3A	MEDAG
ARID3A	ARVCF
ARID3A	GNB1L
ARID3A	PHC1
ARID3A	NDUFC2
ARID3A	CPB1
ARID3A	RNF32
ARID3A	HIST1H3C
ARID3A	B3GALTL
ARID3A	NEIL2
ARID3A	ZNF141
ARID3A	FJX1
ARID3A	KDM4C
ARID3A	NOL7
ARID3A	MAP4K5
ARID3A	C21orf67
ARID3A	ATXN7L2
ARID3A	CEP250
ARID3A	CTNND1
ARID3A	BTN3A2
ARID3A	NOL11
ARID3A	PPAP2B
ARID3A	CASC3
ARID3A	EFHD1
ARID3A	SLC43A1
ARID3A	ERAP2
ARID3A	SEPP1
ARID3A	HLA-DQB1
ARID3A	C4orf29
ARID3A	GRIA4
ARID3A	HIST1H2BB
ARID3A	MLLT1
ARID3A	RIC8A
ARID3A	HIST1H4E
ARID3A	GRHPR
ARID3A	MT1E
ARID3A	MOCOS
ARID3A	MTF2
ARID3A	RGS2
ARID3A	TNFSF9
ARID3A	AMBRA1
ARID3A	TBC1D7
ARID3A	IFITM2
ARID3A	PELI2
ARID3A	HIAT1
ARID3A	DNAAF2
ARID3A	SDC2
ARID3A	HHIPL1
ARID3A	CD247
ARID3A	UFD1L
ARID3A	RABL2A
ARID3A	SMIM8
ARID3A	PCDHGA7
ARID3A	FDX1
ARID3A	SERP2
ARID3A	IFITM1
ARID3A	SLC35F5
ARID3A	GDF5
ARID3A	HSPH1
ARID3A	SH3BP5
ARID3A	ATL1
ARID3A	MFSD6
ARID3A	SULF2
ARID3A	TTC37
ARID3A	TMEM80
ARID3A	TAX1BP1
ARID3A	MINOS1-NBL1
ARID3A	BCL2L13
ARID3A	TMOD2
ARID3A	CCDC40
ARID3A	SLC25A22
ARID3A	C5orf30
ARID3A	SPATS2
ARID3A	HIST1H3E
ARID3A	GIN1
ARID3A	PLXNC1
ARID3A	LANCL2
ARID3A	CEND1
ARID3A	CNIH4
ARID3A	FAM161A
ARID3A	GSTO2
ARID3A	EIF4A3
ARID3A	B3GNT2
ARID3A	MRPL22
ARID3A	CFDP1
ARID3A	TMEM194B
ARID3A	SERPING1
ARID3A	VPS13A
ARID3A	TRPC4AP
ARID3A	NOTCH2NL
ARID3A	ATG5
ARID3A	RPL36AL
ARID3A	DUS3L
ARID3A	ZNF510
ARID3A	MAP3K3
ARID3A	FAM115A
ARID3A	RTN1
ARID3A	SAFB
ARID3A	ATG7
ARID3A	POLR2K
ARID3A	HMGN4
ARID3A	CBX5
ARID3A	CXCL2
ARID3A	FUT5
ARID3A	PBX2
ARID3A	KIAA1324
ARID3A	RDX
ARID3A	CHAMP1
ARID3A	PRPF40B
ARID3A	HIST1H1B
ARID3A	CRYAB
ARID3A	MINOS1
ARID3A	CNDP2
ARID3A	HIST1H2AB
ARID3A	PRR16
ARID3A	SULT1C4
ARID3A	SMAD3
ARID3A	HOXA7
ARID3A	VWA8
ARID3A	PHACTR1
ARID3A	HNRNPH3
ARID3A	GSS
ARID3A	XIRP1
ARID3A	POLR2L
ARID3A	PAMR1
ARID3A	PSMA5
ARID3A	TMCC3
ARID3A	MAP1LC3B2
ARID3A	TIMM10
ARID3A	SORT1
ARID3A	ATG13
ARID3A	LYST
ARID3A	SYNPO2L
ARID3A	FOXN3
ARID3A	RFX2
ARID3A	PEX16
ARID3A	MDM1
ARID3A	SRSF1
ARID3A	QRSL1
ARID3A	PLEK
ARID3A	DAP3
ARID3A	PERP
ARID3A	GLDN
ARID3A	GRPEL2
ARID3A	CAP2
ARID3A	GMNN
ARID3A	MUL1
ARID3A	B3GALNT2
ARID3A	IGFBP4
ARID3A	DNTTIP2
ARID3A	TMBIM4
ARID3A	MT1A
ARID3A	C6orf99
ARID3A	STXBP3
ARID3A	SMAD4
ARID3A	DMXL2
ARID3A	ACTR3
ARID3A	GPD2
ARID3A	CCNT1
ARID3A	TMEM189-UBE2V1
ARID3A	ACE
ARID3A	OTUD3
ARID3A	SEH1L
ARID3A	SLC35A1
ARID3A	ATP6V1E1
ARID3A	ALOX5AP
ARID3A	ACSS2
ARID3A	LMO4
ARID3A	CXXC5
ARID3A	FHOD3
ARID3A	KIAA1407
ARID3A	HIST1H4B
ARID3A	WDR11
ARID3A	TMEM260
ARID3A	SEC11C
ARID3A	SEP15
ARID3A	RUNX1
ARID3A	KIAA1328
ARID3A	HIST1H2BI
ARID3A	KIN
ARID3A	CPQ
ARID3A	WIPF2
ARID3A	RPS14
ARID3A	CCDC152
ARID3A	PPIP5K2
ARID3A	RND1
ARID3A	FTSJ3
ARID3A	GPCPD1
ARID3A	ACOT13
ARID3A	NCOA6
ARID3A	CCDC85C
ARID3A	SBSPON
ARID3A	EXTL3
ARID3A	SLC11A2
ARID3A	WDR70
ARID3A	TDP2
ARID3A	CLUH
ARID3A	EEA1
ARID3A	INTU
ARID3A	UBE2G2
ARID3A	SFT2D1
ARID3A	NCOA3
ARID3A	UTP23
ARID3A	HGF
